percsecret,percconfidential,percunclassified,totalcables,year,,percentunknown
0,0,1,1,1966,1,0
0,0,1,4,1972,1,0
0.666666667,0,0.333333333,3,1973,1,0
0,1,0,2,1975,1,0
0,1,0,2,1978,1,0
0,1,0,5,1979,1,0
0.24,0.55,0.21,87,1985,1,0
0.288888889,0.6,0.111111111,45,1986,1,0
0.171428571,0.6,0.228571429,35,1987,1,0
0.123287671,0.520547945,0.356164384,73,1988,1,0
0.081081081,0.621621622,0.297297297,74,1989,1,0
0.235849057,0.556603774,0.20754717,106,1990,1,0
0.096153846,0.538461538,0.365384615,52,1991,1,0
0.048543689,0.417475728,0.533980583,103,1992,1,0
0.032258065,0.64516129,0.322580645,31,1993,1,0
0.086419753,0.50617284,0.407407407,81,1994,1,0
0.064220183,0.697247706,0.23853211,109,1995,1,0
0.125,0.666666667,0.208333333,48,1996,1,0
0.1,0.67,0.23,58,1997,1,0
0.177419355,0.596774194,0.225806452,62,1998,1,0
0.035714286,0.660714286,0.285714286,56,1999,0.982142857,0.017857143
0.025462963,0.664351852,0.284722222,432,2000,0.974537037,0.025462963
0.0261959,0.547835991,0.328018223,878,2001,0.902050114,0.097949886
0.036964981,0.408560311,0.390272374,2570,2002,0.835797665,0.164202335
0.054558951,0.372262774,0.38871706,8083,2003,0.815538785,0.184461215
0.035823171,0.369241192,0.374237805,11808,2004,0.779302168,0.220697832
0.040570221,0.367452654,0.383904521,24131,2005,0.791927396,0.208072604
0.039465924,0.421858413,0.299450355,42391,2006,0.760774693,0.239225307
0.045890855,0.400152149,0.282930213,44693,2007,0.728973217,0.271026783
0.04928609,0.400457064,0.25886826,49446,2008,0.708611414,0.291388586
0.046257019,0.352806576,0.290532097,56813,2009,0.689595691,0.310404309
0.047862299,0.311382565,0.289283731,9005,2010,0.648528595,0.351471405
