originAggRegion,destinationAggRegion,year,count
Africa,Africa,1975,1
Africa,Africa,1985,65
Africa,Africa,1986,32
Africa,Africa,1987,27
Africa,Africa,1988,42
Africa,Africa,1989,27
Africa,Africa,1990,133
Africa,Africa,1991,71
Africa,Africa,1992,56
Africa,Africa,1993,6
Africa,Africa,1994,38
Africa,Africa,1995,52
Africa,Africa,1996,80
Africa,Africa,1997,36
Africa,Africa,1998,25
Africa,Africa,1999,15
Africa,Africa,2000,602
Africa,Africa,2001,1019
Africa,Africa,2002,499
Africa,Africa,2003,308
Africa,Africa,2004,691
Africa,Africa,2005,2347
Africa,Africa,2006,13538
Africa,Africa,2007,14542
Africa,Africa,2008,17932
Africa,Africa,2009,18206
Africa,Africa,2010,2793
Africa,Latin America,2000,1
Africa,Latin America,2004,1
Africa,Latin America,2005,11
Africa,Latin America,2006,225
Africa,Latin America,2007,716
Africa,Latin America,2008,88
Africa,Latin America,2009,88
Africa,Latin America,2010,34
Africa,North America,1975,1
Africa,North America,1985,5
Africa,North America,1986,3
Africa,North America,1988,11
Africa,North America,1989,4
Africa,North America,1990,8
Africa,North America,1991,6
Africa,North America,1992,5
Africa,North America,1993,2
Africa,North America,1994,3
Africa,North America,1995,2
Africa,North America,1996,7
Africa,North America,1997,4
Africa,North America,1998,4
Africa,North America,1999,4
Africa,North America,2000,47
Africa,North America,2001,94
Africa,North America,2002,68
Africa,North America,2003,61
Africa,North America,2004,312
Africa,North America,2005,677
Africa,North America,2006,1207
Africa,North America,2007,1282
Africa,North America,2008,1629
Africa,North America,2009,1897
Africa,North America,2010,426
Africa,NW Asia,1985,9
Africa,NW Asia,1986,7
Africa,NW Asia,1987,2
Africa,NW Asia,1988,7
Africa,NW Asia,1989,6
Africa,NW Asia,1990,15
Africa,NW Asia,1991,6
Africa,NW Asia,1994,4
Africa,NW Asia,1996,3
Africa,NW Asia,1997,3
Africa,NW Asia,2000,1
Africa,NW Asia,2001,5
Africa,NW Asia,2002,10
Africa,NW Asia,2003,7
Africa,NW B77,2004,2
Africa,NW Asia,2005,21
Africa,NW Asia,2006,418
Africa,NW Asia,2007,759
Africa,NW Asia,2008,671
Africa,NW Asia,2009,833
Africa,NW Asia,2010,107
Africa,NW Europe,1975,1
Africa,NW Europe,1985,11
Africa,NW Europe,1986,4
Africa,NW Europe,1987,7
Africa,NW Europe,1988,9
Africa,NW Europe,1989,9
Africa,NW Europe,1990,37
Africa,NW Europe,1991,14
Africa,NW Europe,1992,6
Africa,NW Europe,1993,1
Africa,NW Europe,1994,14
Africa,NW Europe,1995,11
Africa,NW Europe,1996,10
Africa,NW Europe,1997,5
Africa,NW Europe,1998,5
Africa,NW Europe,1999,6
Africa,NW Europe,2000,124
Africa,NW Europe,2001,151
Africa,NW Europe,2002,54
Africa,NW Europe,2003,6
Africa,NW Europe,2004,8
Africa,NW Europe,2005,360
Africa,NW Europe,2006,2381
Africa,NW Europe,2007,2588
Africa,NW Europe,2008,3060
Africa,NW Europe,2009,3095
Africa,NW Europe,2010,243
Africa,SE Asia & Pacific,1975,1
Africa,SE Asia & Pacific,1988,1
Africa,SE Asia & Pacific,1995,1
Africa,SE Asia & Pacific,2000,1
Africa,SE Asia & Pacific,2001,26
Africa,SE Asia & Pacific,2002,18
Africa,SE Asia & Pacific,2003,1
Africa,SE Asia & Pacific,2004,7
Africa,SE Asia & Pacific,2005,25
Africa,SE Asia & Pacific,2006,664
Africa,SE Asia & Pacific,2007,591
Africa,SE Asia & Pacific,2008,710
Africa,SE Asia & Pacific,2009,712
Africa,SE Asia & Pacific,2010,102
Africa,SE Europe,1985,9
Africa,SE Europe,1986,2
Africa,SE Europe,1987,2
Africa,SE Europe,1988,11
Africa,SE Europe,1990,12
Africa,SE Europe,1991,2
Africa,SE Europe,1994,1
Africa,SE Europe,1995,1
Africa,SE Europe,1997,1
Africa,SE Europe,1998,1
Africa,SE Europe,1999,2
Africa,SE Europe,2000,21
Africa,SE Europe,2001,10
Africa,SE Europe,2002,7
Africa,SE Europe,2003,2
Africa,SE Europe,2004,2
Africa,SE Europe,2005,51
Africa,SE Europe,2006,710
Africa,SE Europe,2007,1134
Africa,SE Europe,2008,701
Africa,SE Europe,2009,890
Africa,SE Europe,2010,65
Latin America,Africa,1995,1
Latin America,Africa,2005,1
Latin America,Africa,2006,404
Latin America,Africa,2007,357
Latin America,Africa,2008,271
Latin America,Africa,2009,288
Latin America,Africa,2010,15
Latin America,Latin America,1966,7
Latin America,Latin America,1985,7
Latin America,Latin America,1986,19
Latin America,Latin America,1987,12
Latin America,Latin America,1988,25
Latin America,Latin America,1989,33
Latin America,Latin America,1990,6
Latin America,Latin America,1991,15
Latin America,Latin America,1992,29
Latin America,Latin America,1993,5
Latin America,Latin America,1994,16
Latin America,Latin America,1995,6
Latin America,Latin America,1996,16
Latin America,Latin America,1997,9
Latin America,Latin America,1998,46
Latin America,Latin America,1999,89
Latin America,Latin America,2000,16
Latin America,Latin America,2001,77
Latin America,Latin America,2002,78
Latin America,Latin America,2003,255
Latin America,Latin America,2004,656
Latin America,Latin America,2005,1529
Latin America,Latin America,2006,23085
Latin America,Latin America,2007,20434
Latin America,Latin America,2008,18839
Latin America,Latin America,2009,20077
Latin America,Latin America,2010,3270
Latin America,North America,1966,2
Latin America,North America,1985,1
Latin America,North America,1988,4
Latin America,North America,1989,4
Latin America,North America,1990,2
Latin America,North America,1992,2
Latin America,North America,1993,2
Latin America,North America,1994,2
Latin America,North America,1996,3
Latin America,North America,1998,12
Latin America,North America,1999,20
Latin America,North America,2000,3
Latin America,North America,2001,11
Latin America,North America,2002,48
Latin America,North America,2003,194
Latin America,North America,2004,380
Latin America,North America,2005,931
Latin America,North America,2006,2574
Latin America,North America,2007,2458
Latin America,North America,2008,2230
Latin America,North America,2009,2004
Latin America,North America,2010,331
Latin America,NW Asia,1995,2
Latin America,NW Asia,2003,1
Latin America,NW Asia,2004,1
Latin America,NW Asia,2005,3
Latin America,NW Asia,2006,92
Latin America,NW Asia,2007,103
Latin America,NW Asia,2008,96
Latin America,NW Asia,2009,161
Latin America,NW Asia,2010,10
Latin America,NW Europe,1966,1
Latin America,NW Europe,1989,2
Latin America,NW Europe,2001,4
Latin America,NW Europe,2003,6
Latin America,NW Europe,2004,8
Latin America,NW Europe,2005,38
Latin America,NW Europe,2006,775
Latin America,NW Europe,2007,560
Latin America,NW Europe,2008,402
Latin America,NW Europe,2009,403
Latin America,NW Europe,2010,44
Latin America,SE Asia & Pacific,1986,1
Latin America,SE Asia & Pacific,1993,1
Latin America,SE Asia & Pacific,2001,3
Latin America,SE Asia & Pacific,2004,4
Latin America,SE Asia & Pacific,2005,22
Latin America,SE Asia & Pacific,2006,346
Latin America,SE Asia & Pacific,2007,518
Latin America,SE Asia & Pacific,2008,320
Latin America,SE Asia & Pacific,2009,426
Latin America,SE Asia & Pacific,2010,54
Latin America,SE Europe,1989,2
Latin America,SE Europe,1992,2
Latin America,SE Europe,1994,1
Latin America,SE Europe,1995,2
Latin America,SE Europe,1999,2
Latin America,SE Europe,2000,1
Latin America,SE Europe,2001,4
Latin America,SE Europe,2002,2
Latin America,SE Europe,2003,7
Latin America,SE Europe,2004,5
Latin America,SE Europe,2005,22
Latin America,SE Europe,2006,527
Latin America,SE Europe,2007,594
Latin America,SE Europe,2008,464
Latin America,SE Europe,2009,348
Latin America,SE Europe,2010,40
North America,Africa,1985,16
North America,Africa,1986,3
North America,Africa,1987,4
North America,Africa,1988,2
North America,Africa,1989,16
North America,Africa,1990,15
North America,Africa,1991,1
North America,Africa,1992,2
North America,Africa,1993,10
North America,Africa,1995,10
North America,Africa,1996,21
North America,Africa,1997,3
North America,Africa,1998,11
North America,Africa,1999,6
North America,Africa,2000,25
North America,Africa,2001,10
North America,Africa,2002,2
North America,Africa,2003,12
North America,Africa,2004,9
North America,Africa,2005,14
North America,Africa,2006,99
North America,Africa,2007,375
North America,Africa,2008,1620
North America,Africa,2009,3182
North America,Africa,2010,576
North America,Latin America,1987,1
North America,Latin America,1989,4
North America,Latin America,1990,1
North America,Latin America,1991,1
North America,Latin America,2000,2
North America,Latin America,2001,1
North America,Latin America,2004,2
North America,Latin America,2005,23
North America,Latin America,2006,305
North America,Latin America,2007,433
North America,Latin America,2008,964
North America,Latin America,2009,1488
North America,Latin America,2010,302
North America,North America,1985,16
North America,North America,1986,3
North America,North America,1987,3
North America,North America,1989,7
North America,North America,1990,2
North America,North America,1992,2
North America,North America,1993,3
North America,North America,1994,1
North America,North America,1996,3
North America,North America,1998,2
North America,North America,1999,1
North America,North America,2000,11
North America,North America,2001,7
North America,North America,2002,2
North America,North America,2003,211
North America,North America,2004,52
North America,North America,2005,695
North America,North America,2006,1088
North America,North America,2007,1261
North America,North America,2008,2275
North America,North America,2009,2857
North America,North America,2010,422
North America,NW Asia,1985,34
North America,NW Asia,1986,4
North America,NW Asia,1987,18
North America,NW Asia,1989,2
North America,NW Asia,1990,27
North America,NW Asia,1992,4
North America,NW Asia,1993,5
North America,NW Asia,1994,6
North America,NW Asia,1996,22
North America,NW Asia,1997,8
North America,NW Asia,1998,7
North America,NW Asia,1999,15
North America,NW Asia,2000,19
North America,NW Asia,2001,26
North America,NW Asia,2002,2
North America,NW Asia,2003,11
North America,NW Asia,2004,16
North America,NW Asia,2005,25
North America,NW Asia,2006,129
North America,NW Asia,2007,476
North America,NW Asia,2008,1875
North America,NW Asia,2009,2706
North America,NW Asia,2010,478
North America,NW Europe,1985,21
North America,NW Europe,1987,2
North America,NW Europe,1988,1
North America,NW Europe,1989,5
North America,NW Europe,1990,9
North America,NW Europe,1992,8
North America,NW Europe,1993,4
North America,NW Europe,1994,2
North America,NW Europe,1995,2
North America,NW Europe,1996,8
North America,NW Europe,1997,4
North America,NW Europe,1998,2
North America,NW Europe,1999,10
North America,NW Europe,2000,6
North America,NW Europe,2001,8
North America,NW Europe,2002,1
North America,NW Europe,2003,7
North America,NW Europe,2004,2
North America,NW Europe,2005,23
North America,NW Europe,2006,233
North America,NW Europe,2007,468
North America,NW Europe,2008,1673
North America,NW Europe,2009,2039
North America,NW Europe,2010,324
North America,SE Asia & Pacific,1985,14
North America,SE Asia & Pacific,1986,3
North America,SE Asia & Pacific,1989,4
North America,SE Asia & Pacific,1990,3
North America,SE Asia & Pacific,1993,2
North America,SE Asia & Pacific,1994,4
North America,SE Asia & Pacific,1995,7
North America,SE Asia & Pacific,1996,15
North America,SE Asia & Pacific,1997,6
North America,SE Asia & Pacific,1998,16
North America,SE Asia & Pacific,1999,16
North America,SE Asia & Pacific,2000,8
North America,SE Asia & Pacific,2001,23
North America,SE Asia & Pacific,2002,3
North America,SE Asia & Pacific,2003,21
North America,SE Asia & Pacific,2004,7
North America,SE Asia & Pacific,2005,22
North America,SE Asia & Pacific,2006,272
North America,SE Asia & Pacific,2007,684
North America,SE Asia & Pacific,2008,2413
North America,SE Asia & Pacific,2009,2939
North America,SE Asia & Pacific,2010,559
North America,SE Europe,1985,14
North America,SE Europe,1986,3
North America,SE Europe,1989,5
North America,SE Europe,1990,5
North America,SE Europe,1991,1
North America,SE Europe,1992,5
North America,SE Europe,1993,2
North America,SE Europe,1994,1
North America,SE Europe,1995,2
North America,SE Europe,1996,4
North America,SE Europe,1997,4
North America,SE Europe,1998,2
North America,SE Europe,1999,3
North America,SE Europe,2000,19
North America,SE Europe,2001,12
North America,SE Europe,2003,17
North America,SE Europe,2004,3
North America,SE Europe,2005,16
North America,SE Europe,2006,131
North America,SE Europe,2007,384
North America,SE Europe,2008,1466
North America,SE Europe,2009,1805
North America,SE Europe,2010,414
NW Asia,Africa,1985,20
NW Asia,Africa,1986,6
NW Asia,Africa,1987,2
NW Asia,Africa,1988,4
NW Asia,Africa,1989,2
NW Asia,Africa,1990,11
NW Asia,Africa,1991,4
NW Asia,Africa,1992,10
NW Asia,Africa,1994,1
NW Asia,Africa,1995,14
NW Asia,Africa,1996,8
NW Asia,Africa,1997,2
NW Asia,Africa,1998,6
NW Asia,Africa,1999,1
NW Asia,Africa,2002,1
NW Asia,Africa,2003,50
NW Asia,Africa,2004,28
NW Asia,Africa,2005,41
NW Asia,Africa,2006,629
NW Asia,Africa,2007,1547
NW Asia,Africa,2008,1822
NW Asia,Africa,2009,1809
NW Asia,Africa,2010,308
NW Asia,Latin America,1991,1
NW Asia,Latin America,2003,4
NW Asia,Latin America,2004,4
NW Asia,Latin America,2006,71
NW Asia,Latin America,2007,60
NW Asia,Latin America,2008,54
NW Asia,Latin America,2009,109
NW Asia,Latin America,2010,20
NW Asia,North America,1985,4
NW Asia,North America,1986,3
NW Asia,North America,1987,1
NW Asia,North America,1988,5
NW Asia,North America,1989,5
NW Asia,North America,1990,6
NW Asia,North America,1991,1
NW Asia,North America,1992,1
NW Asia,North America,1993,3
NW Asia,North America,1994,3
NW Asia,North America,1995,3
NW Asia,North America,1997,2
NW Asia,North America,1998,5
NW Asia,North America,1999,3
NW Asia,North America,2000,3
NW Asia,North America,2001,7
NW Asia,North America,2002,151
NW Asia,North America,2003,631
NW Asia,North America,2004,797
NW Asia,North America,2005,1181
NW Asia,North America,2006,1481
NW Asia,North America,2007,1664
NW Asia,North America,2008,1625
NW Asia,North America,2009,1663
NW Asia,North America,2010,274
NW Asia,NW Asia,1979,4
NW Asia,NW Asia,1985,209
NW Asia,NW Asia,1986,68
NW Asia,NW Asia,1987,27
NW Asia,NW Asia,1988,80
NW Asia,NW Asia,1989,72
NW Asia,NW Asia,1990,95
NW Asia,NW Asia,1991,48
NW Asia,NW Asia,1992,33
NW Asia,NW Asia,1993,19
NW Asia,NW Asia,1994,28
NW Asia,NW Asia,1995,69
NW Asia,NW Asia,1996,46
NW Asia,NW Asia,1997,27
NW Asia,NW Asia,1998,40
NW Asia,NW Asia,1999,19
NW Asia,NW Asia,2000,18
NW Asia,NW Asia,2001,34
NW Asia,NW Asia,2002,159
NW Asia,NW Asia,2003,2162
NW Asia,NW Asia,2004,1939
NW Asia,NW Asia,2005,3068
NW Asia,NW Asia,2006,15562
NW Asia,NW Asia,2007,18520
NW Asia,NW Asia,2008,19843
NW Asia,NW Asia,2009,19679
NW Asia,NW Asia,2010,3325
NW Asia,NW Europe,1985,20
NW Asia,NW Europe,1986,18
NW Asia,NW Europe,1988,13
NW Asia,NW Europe,1989,9
NW Asia,NW Europe,1990,9
NW Asia,NW Europe,1991,2
NW Asia,NW Europe,1992,7
NW Asia,NW Europe,1993,1
NW Asia,NW Europe,1994,2
NW Asia,NW Europe,1995,16
NW Asia,NW Europe,1996,14
NW Asia,NW Europe,1997,6
NW Asia,NW Europe,1998,9
NW Asia,NW Europe,2000,1
NW Asia,NW Europe,2001,5
NW Asia,NW Europe,2002,8
NW Asia,NW Europe,2003,220
NW Asia,NW Europe,2004,165
NW Asia,NW Europe,2005,188
NW Asia,NW Europe,2006,2036
NW Asia,NW Europe,2007,1648
NW Asia,NW Europe,2008,1811
NW Asia,NW Europe,2009,2475
NW Asia,NW Europe,2010,341
NW Asia,SE Asia & Pacific,1979,1
NW Asia,SE Asia & Pacific,1985,3
NW Asia,SE Asia & Pacific,1986,3
NW Asia,SE Asia & Pacific,1989,5
NW Asia,SE Asia & Pacific,1990,1
NW Asia,SE Asia & Pacific,1993,2
NW Asia,SE Asia & Pacific,1994,3
NW Asia,SE Asia & Pacific,1996,2
NW Asia,SE Asia & Pacific,1997,2
NW Asia,SE Asia & Pacific,1998,2
NW Asia,SE Asia & Pacific,2001,9
NW Asia,SE Asia & Pacific,2002,1
NW Asia,SE Asia & Pacific,2003,49
NW Asia,SE Asia & Pacific,2004,62
NW Asia,SE Asia & Pacific,2005,106
NW Asia,SE Asia & Pacific,2006,2289
NW Asia,SE Asia & Pacific,2007,3991
NW Asia,SE Asia & Pacific,2008,5101
NW Asia,SE Asia & Pacific,2009,4808
NW Asia,SE Asia & Pacific,2010,661
NW Asia,SE Europe,1985,12
NW Asia,SE Europe,1986,7
NW Asia,SE Europe,1988,7
NW Asia,SE Europe,1990,4
NW Asia,SE Europe,1992,2
NW Asia,SE Europe,1993,1
NW Asia,SE Europe,1994,4
NW Asia,SE Europe,1995,1
NW Asia,SE Europe,1996,1
NW Asia,SE Europe,1997,3
NW Asia,SE Europe,2001,2
NW Asia,SE Europe,2002,4
NW Asia,SE Europe,2003,40
NW Asia,SE Europe,2004,21
NW Asia,SE Europe,2005,83
NW Asia,SE Europe,2006,1076
NW Asia,SE Europe,2007,1276
NW Asia,SE Europe,2008,1398
NW Asia,SE Europe,2009,1365
NW Asia,SE Europe,2010,191
NW Europe,Africa,1985,2
NW Europe,Africa,1986,4
NW Europe,Africa,1987,1
NW Europe,Africa,1994,7
NW Europe,Africa,1995,7
NW Europe,Africa,2004,10
NW Europe,Africa,2005,22
NW Europe,Africa,2006,693
NW Europe,Africa,2007,749
NW Europe,Africa,2008,823
NW Europe,Africa,2009,882
NW Europe,Africa,2010,130
NW Europe,Latin America,2003,5
NW Europe,Latin America,2004,47
NW Europe,Latin America,2005,10
NW Europe,Latin America,2006,401
NW Europe,Latin America,2007,445
NW Europe,Latin America,2008,308
NW Europe,Latin America,2009,330
NW Europe,Latin America,2010,85
NW Europe,North America,1985,4
NW Europe,North America,1986,1
NW Europe,North America,1988,1
NW Europe,North America,1990,1
NW Europe,North America,1992,2
NW Europe,North America,1993,2
NW Europe,North America,1994,2
NW Europe,North America,1995,1
NW Europe,North America,1998,1
NW Europe,North America,1999,1
NW Europe,North America,2000,20
NW Europe,North America,2001,3
NW Europe,North America,2002,1
NW Europe,North America,2003,167
NW Europe,North America,2004,524
NW Europe,North America,2005,1071
NW Europe,North America,2006,1848
NW Europe,North America,2007,1883
NW Europe,North America,2008,1831
NW Europe,North America,2009,1831
NW Europe,North America,2010,375
NW Europe,NW Asia,1985,6
NW Europe,NW Asia,1987,2
NW Europe,NW Asia,1993,2
NW Europe,NW Asia,1994,3
NW Europe,NW Asia,1995,5
NW Europe,NW Asia,1998,2
NW Europe,NW Asia,2001,9
NW Europe,NW Asia,2004,27
NW Europe,NW Asia,2005,27
NW Europe,NW Asia,2006,760
NW Europe,NW Asia,2007,961
NW Europe,NW Asia,2008,1291
NW Europe,NW Asia,2009,1043
NW Europe,NW Asia,2010,136
NW Europe,NW Europe,1985,11
NW Europe,NW Europe,1986,1
NW Europe,NW Europe,1987,1
NW Europe,NW Europe,1988,7
NW Europe,NW Europe,1989,1
NW Europe,NW Europe,1990,1
