origin,destination,year,count
Africa,Africa,2010,2793
Africa,Americas,2010,460
Africa,Asia,2010,173
Africa,Europe,2010,308
Africa,Oceania,2010,36
Americas,Africa,2010,591
Americas,Americas,2010,4325
Americas,Asia,2010,1005
Americas,Europe,2010,822
Americas,Oceania,2010,96
Asia,Africa,2010,333
Asia,Americas,2010,824
Asia,Asia,2010,9993
Asia,Europe,2010,1532
Asia,Oceania,2010,227
Europe,Africa,2010,165
Europe,Americas,2010,881
Europe,Asia,2010,489
Europe,Europe,2010,2678
Europe,Oceania,2010,48
Oceania,Africa,2010,2
Oceania,Americas,2010,108
Oceania,Asia,2010,85
Oceania,Europe,2010,40
Oceania,Oceania,2010,281
